lon,lat,status_clean,ward_num,location,fid
-79.567451,43.713609,active,1,Kipling Ave. North of Rexdale Blvd.,1
-79.55051,43.700973,active,1,St. Andrews Blvd. West of Islington Ave.,2
-79.56138591,43.7285526,active,1,Islington Ave. North of Fordwich Cres.,3
-79.597523,43.748744,active,1,Martin Grove Rd. South of Silverstone Dr.,4
-79.553404,43.722559,active,1,Golfdown Dr. East of Turpin Ave.,5
-79.596034,43.738952,active,1,Silverstone Dr. Near Midhurst Dr.,6
-79.599379,43.718343,active,1,Rexdale Blvd. West of Highway 27,7
-79.621564,43.727606,active,1,Humberwood Blvd. South of Pinecone Dr.,8
-79.57205,43.63331,active,2,Bloor St. W. East of Forest View Rd.,9
-79.52411,43.65382,active,2,Dundas St. W. East of Briarly Lane,10
-79.56089,43.67494,active,2,Eglinton Ave. W. East of Martin Grove Rd.,11
-79.5623874,43.6511409,active,2,The East Mall South of Capri Rd.,12
-79.58734473,43.6439106,active,2,Mill Rd. Near 411 Mill Rd.,13
-79.527931,43.685121,active,2,Royal York Rd. North of La Rose Ave.,14
-79.561455,43.684757,active,2,The Westway West of Brampton Rd.,15
-79.562461,43.673257,active,2,Martin Grove Rd. South of Eglinton Ave. W. ,16
-79.52992417,43.5941544,active,3,Thirty First St. Near Ash Cres.,17
-79.555658,43.633155,active,3,The East Mall South of Faludon Court,18
-79.503811,43.599991,active,3,Sixth St. South of Lake Shore Blvd. W,19
-79.51893,43.6026296,active,3,Kipling Ave. South of New Toronto St.,20
-79.519132,43.600527,active,3,Birmingham St. West of Kipling Ave.,21
-79.496038,43.614636,active,3,Stanley Ave. Near Elizabeth St.,22
-79.45528,43.64253,active,4,Parkside Dr. South of Algonquin Ave.,23
-79.477753,43.654995,active,4,Runnymede Rd. North of Colbeck St.,24
-79.460767,43.663059,active,4,Indian Road Cres. North of Humberside Ave.,25
-79.436868,43.639217,active,4,Jameson Ave. South of Laxton Ave.,26
-79.490643,43.6644435,active,4,Jane St. Near Page Ave.,27
-79.45087,43.656714,active,4,Bloor St. W. East of Dundas St. W.,28
-79.507828,43.679233,active,5,Scarlett Rd. South of Edinbridge Dr.,29
-79.501798,43.703317,active,5,Lawrence Ave. W. Near Martini Dr.,30
-79.48895,43.67496,active,5,Rockcliffe Blvd. Near Rockcliffe Court,31
-79.509436,43.708342,active,5,Church St. West of Uphill Ave.,32
-79.47246,43.683797,active,5,Keele St. Near Nashville Ave.,33
-79.482094,43.680773,active,5,Humber Blvd. Near Louvain St.,34
-79.49820962,43.6825208,active,5,Jane St. North of Lambton Ave.,35
-79.483285,43.7319336,active,6,Keele St. North of Wandle Ave.,36
-79.493949,43.743279,active,6,Sheppard Ave. W. Near Seeley Dr.,37
-79.451258,43.751678,active,6,Faywood Blvd. Near Norcross Rd.,38
